City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
577,monroe,43.1501,-77.6831,-6.39,80,100,1.54,US,1675222273
578,borgarnes,64.5383,-21.9206,-2.97,96,100,2.19,IS,1675222274
579,lander,42.833,-108.7307,0.33,71,0,0.0,US,1675222275
580,itarema,-2.9248,-39.9167,25.08,89,43,4.74,BR,1675222275
581,kapit,2.0167,112.9333,32.58,55,94,1.24,MY,1675222276
582,chifeng,42.2683,118.9636,-6.84,23,0,10.04,CN,1675222276
583,bhadrachalam,17.6667,80.8833,24.08,60,96,1.26,IN,1675222139
584,spornoye,50.8448,37.2913,-4.03,91,99,2.66,RU,1675222277
585,oranjemund,-28.55,16.4333,17.45,90,70,2.65,NA,1675222278
586,inta,66.0317,60.1659,-4.24,80,80,9.11,RU,1675222280
587,aktas,49.7789,72.9608,-9.14,100,86,1.37,KZ,1675222280
588,saint-francois,46.4154,3.9054,3.69,93,100,1.03,FR,1675222281
589,palmer,42.1584,-72.3287,-3.35,61,40,2.57,US,1675222239
590,buwenge,0.6422,33.1744,17.35,92,5,0.94,UG,1675222281
591,navrongo,10.8956,-1.0921,23.3,13,19,3.39,GH,1675222282
592,kantemirovka,49.7089,39.8592,-4.0,99,88,1.11,RU,1675222283
593,flin flon,54.7682,-101.865,-33.53,100,73,1.7,CA,1675222283
594,trairi,-3.2778,-39.2689,24.51,93,94,3.6,BR,1675222130
595,oyama,36.3,139.8,11.44,35,35,3.16,JP,1675222285
596,coahuayana,18.7333,-103.6833,20.26,91,6,1.57,MX,1675222286
597,inhambane,-23.865,35.3833,25.52,71,75,4.78,MZ,1675222287
598,frontera,26.9333,-101.45,2.96,93,100,1.34,MX,1675222213
599,tatawin,32.9297,10.4518,6.61,53,2,2.59,TN,1675222287
600,adre,13.4667,22.2,20.33,17,48,5.26,TD,1675222097
601,ahuimanu,21.4447,-157.8378,27.52,80,40,3.6,US,1675222288
602,abu samrah,35.3029,37.1841,6.99,88,85,5.42,SY,1675222289
603,novokayakent,42.3937,47.9861,5.29,89,99,1.35,RU,1675222289
604,rassvet,46.8333,40.75,1.88,99,100,1.02,RU,1675222290
605,vrangel,42.7297,133.0839,-2.9,60,100,6.13,RU,1675222290
606,balaka,-14.9793,34.9558,19.59,97,100,0.97,MW,1675222290
607,battipaglia,40.6109,14.9852,7.76,72,4,1.85,IT,1675222290
608,horadiz,39.4488,47.3353,4.43,88,89,1.56,AZ,1675222291
609,coldwater,41.9403,-85.0005,-12.59,78,0,2.06,US,1675222220
610,anloga,5.7947,0.8973,26.35,80,77,2.67,GH,1675222291
